 Casos de aids identificados no Brasil
Freqüência por Ano Diagnóstico e Raça/cor
Ano Diagnóstico: 2025
UF Residência: Distrito Federal
Região Res.: Região Centro-Oeste
UF Notificação: Distrito Federal
Período:2025
"Ano Diagnóstico";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"2025";89;37;2;151;1;280
"Total";89;37;2;151;1;280
