"Ano Diagnóstico;""13-19"";""20-24"";""25-29"";""30-34"";""35-39"";""40-49"";""50-59"";""60 e mais"";""Total"""
2025;7;22;54;39;53;57;35;13;280
Total;7;22;54;39;53;57;35;13;280
