"Ano Diagnóstico;""Homossexual"";""Bissexual"";""Heterossexual"";""UDI"";""Hemofílico"";""Transfusão"";""Transmissão Vertical"";""Ignorado"";""Total"""
2025;71;22;81;8;1;1;2;94;280
Total;71;22;81;8;1;1;2;94;280
